City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
254,comodoro rivadavia,-45.8667,-67.5,71.46,20,0,21.85,AR,1704672879
255,guerrero negro,27.9769,-114.0611,60.82,70,17,24.11,MX,1704672879
256,qax,41.4225,46.9242,38.39,42,74,5.64,AZ,1704672879
257,shikarpur,27.9571,68.6379,42.69,31,3,5.86,PK,1704672879
258,kangaatsiaq,68.3065,-53.4641,16.0,70,100,19.89,GL,1704672880
259,saldanha,-33.0117,17.9442,60.85,76,0,23.22,ZA,1704672880
260,kaz,52.9113,87.3105,13.91,98,78,4.63,RU,1704672880
261,tura,25.5198,90.2201,55.53,68,0,2.44,IN,1704672881
262,melbu,68.5044,14.8297,35.38,86,100,12.66,NO,1704672881
263,port hardy,50.6996,-127.4199,39.38,93,100,5.75,CA,1704672881
264,turbat,26.0023,63.044,67.37,48,27,8.41,PK,1704672881
265,olyka,50.7186,25.8125,15.17,60,100,14.58,UA,1704672881
266,hamilton,39.1834,-84.5333,37.35,79,100,13.0,US,1704672734
267,ribeira grande,38.5167,-28.7,60.78,77,63,7.0,PT,1704672882
268,kavieng,-2.5744,150.7967,85.3,69,83,4.14,PG,1704672882
269,coihaique,-45.5752,-72.0662,54.21,62,40,3.44,CL,1704672621
270,praya,14.9215,-23.5087,75.74,23,0,10.36,CV,1704672882
271,labuhan,-6.8844,112.2051,79.59,83,100,3.11,ID,1704672882
272,joshimath,30.5667,79.5667,41.09,15,0,7.58,IN,1704672882
273,mvuma,-19.2792,30.5283,65.16,79,35,4.59,ZW,1704672883
274,nouadhibou,20.931,-17.0347,67.98,60,13,10.36,MR,1704672883
275,eyl,7.9803,49.8164,72.55,69,14,16.44,SO,1704672883
276,gangapur,26.4833,76.7167,49.46,60,0,6.73,IN,1704672883
277,beidao,34.5686,105.8933,32.94,88,24,3.13,CN,1704672811
278,coquimbo,-29.9533,-71.3436,65.93,82,0,8.05,CL,1704672884
279,beringovskiy,63.05,179.3167,5.04,94,100,17.43,RU,1704672751
280,petropavlovsk-kamchatskiy,53.0452,158.6483,3.45,78,20,11.99,RU,1704672884
281,toora-khem,52.4675,96.11,-6.88,100,100,1.05,RU,1704672884
282,biak,-0.9131,122.8766,80.42,75,83,1.5,ID,1704672884
283,egelsbach,49.9711,8.6703,34.18,70,100,13.8,DE,1704672885
284,shimoda,34.6667,138.95,48.56,52,1,4.74,JP,1704672885
285,ucluelet,48.9329,-125.5528,42.1,85,94,4.12,CA,1704672885
286,tuatapere,-46.1333,167.6833,69.39,43,100,2.86,NZ,1704672885
287,iquique,-20.2208,-70.1431,68.97,81,85,4.54,CL,1704672734
288,vincennes,48.85,2.4333,34.16,75,100,16.11,FR,1704672886
289,emilio carranza,19.9711,-96.6114,70.03,92,100,4.23,MX,1704672886
290,mitsamiouli,-11.3847,43.2844,81.45,74,34,3.44,KM,1704672886
291,mlimba,-8.8,35.8167,72.82,98,98,1.19,TZ,1704672886
292,junin,-34.5838,-60.9433,74.71,68,27,5.41,AR,1704672886
293,yecla,38.6137,-1.1147,42.78,70,0,18.43,ES,1704672886
294,blythe,33.6103,-114.5964,57.65,14,0,25.32,US,1704672887
295,necochea,-38.5473,-58.7368,65.44,80,83,5.17,AR,1704672887
296,ancud,-41.8697,-73.8203,57.04,82,52,7.58,CL,1704672887
297,grand gaube,-20.0064,57.6608,77.4,87,16,4.0,MU,1704672887
298,shu,43.5983,73.7614,42.84,84,100,4.99,KZ,1704672887
299,lata,40.1629,-8.3327,38.07,79,39,3.33,PT,1704672887
300,san quintin,30.4833,-115.95,57.92,46,31,23.76,MX,1704672888
